mat_type,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Acoustic ceiling tile aluminum,187374.6650543248,218701.68560745713,210951.67351332054,220039.48400799435,228863.94982918334,247761.4897246201,239344.31922360935,235415.4941064511,246536.43702054681,258398.76831237203,267722.84315148444,273859.1236842826,272158.3393772902,265318.74670758424,258456.4000003824,251247.54987966214,244669.87926320566,239530.39284557416,234714.791153712,230517.16752764359,227489.7568337405,225485.97575529342,224713.5258098663,225189.19106528172,226563.14936903855,228611.1315140367,231131.4486543593,233896.77337127298,236693.0592952731,239418.60775083327,241923.51872046094
Acoustic ceiling tile fiber,336382.244230559,319066.89861325023,319403.4503868321,370327.3203432996,381775.6714945239,403614.3621597477,395933.54361726216,393621.6814908752,405791.66293632955,416443.0775625744,422353.76943101233,425934.36276724224,424057.36750799866,415399.3329594859,405641.5301806992,397794.39531183825,392441.5765504503,387289.97123381955,382644.3114737582,378161.388429157,377314.3191042546,376315.13104394055,374184.32305831544,374289.97164147825,375333.9045441924,377055.94203075435,378772.51444404025,381238.06713817816,382969.59153227916,384359.8227238864,385796.2659025745
Acoustic ceiling tile steel,62383.55679137182,64337.515367451495,67859.76170675096,69531.58575501219,72327.76815721056,78307.93045522897,75654.83137338122,74420.00952597786,77943.03503814155,81701.07627051653,84657.06094084254,86605.27525347246,86074.96576485604,83919.04797229226,81755.47242977058,79481.73998002664,77407.14960150546,75787.16890600635,74269.29142723136,72946.64734816854,71994.03675679651,71365.226851047,71125.98589065898,71281.70231270896,71721.72821292075,72375.1022266844,73178.00482195149,74058.43676391014,74948.71413840272,75816.57893264596,76614.57133943985
Acoustic ceilings - other,119133.04295430449,130771.28444935517,128205.80168388346,134030.26594084632,132878.05451983018,140095.33449361337,137188.31933768603,136206.2217269779,141024.48797109947,145395.6996433505,148266.48137576846,150350.8771421535,149880.5917509188,146637.90341851756,143082.7340451023,139946.09332216426,137849.92517457437,136316.3422578086,135053.40484275037,133835.56598006276,133274.4186239329,132346.09887595742,131834.0721390366,131907.89848740766,132238.9975969924,132940.844249831,133863.33818556683,135596.15533867298,136905.7782232861,138401.62406724144,139817.52747957417
Adhesives and sealants,115846.47621390174,110464.43808634544,108637.19183714682,126340.26705717627,129487.051263706,136276.5017150254,134010.08335270654,133446.59254709503,137249.66402989367,140383.7191733779,141895.45602883174,142794.65653628754,142222.77460958651,139414.9793808775,136179.87773751927,133713.65995852876,132196.14395403626,130669.24129337526,129322.03350034857,127977.98741795598,127901.8991141003,127632.05810014729,126875.49000826839,126865.55183858075,127133.05865978712,127617.78886623617,128076.8192870675,128866.71315612676,129343.89724687592,129723.9123544188,130133.89547339347
Air and vapor barriers,352640.1928716443,375508.89967810694,370903.59545132396,386313.97549410426,396540.251486119,423938.3843951845,413706.1238899964,410010.6512836798,426729.3904549377,443218.3679069475,455142.3546834481,463344.85018351173,461907.81163926935,452190.2300644075,441806.3767565136,432082.8387826647,424423.8776679307,418316.11146719806,412801.1848856408,407827.3679258257,405478.52587766584,403593.928117436,402581.1978034538,403752.41662696353,406153.19255497964,409606.1926078853,413610.6502940781,418679.34051002876,423229.16785458743,427758.498832759,432084.39549229486
Aluminum - other,1740282.9392188024,1578091.4179727577,1564547.544320855,1896406.3616736217,1937960.3379529365,2026928.076708168,2000758.0703388122,1997405.0486081126,2046043.687646577,2081164.1585154966,2091385.2082661695,2096236.3328192849,2088638.3588173194,2049812.0200597346,2003275.0001223474,1971365.912722776,1955529.4347712386,1936868.7335196054,1920881.3616846032,1903837.9517090633,1907758.6680913982,1906337.6080785925,1893751.894226702,1892467.6128958287,1894587.6193826036,1899403.052697612,1902860.3232282824,1911811.4218459197,1915040.6631301534,1916595.866251265,1919103.4261782942
Aluminum composite panel ACM,516139.08343020536,519739.6429249859,510867.9099666755,555919.5779115928,563201.0052503033,593376.376220532,583396.6954189371,581018.0383952914,599438.1097426215,615287.8407935835,624341.1399970549,630581.8624186562,628944.166521421,616781.5196403512,602886.6763046824,591805.0761376687,584988.2377611047,578958.0731703356,573829.0248748836,568748.4102708341,568264.9124578008,566641.090193701,564258.9563580181,564904.5160281878,566742.2881736967,569781.8294201856,573102.936839646,578633.7039705857,582635.1283921709,586661.1167207961,590660.1852982219
Aluminum door,126786.82128251484,125592.25166280368,123917.8816153398,141929.61321423363,143884.71803634946,151501.09561970428,148753.92579062257,147962.76695853443,152486.46327897586,156349.88609050837,158467.38974775656,159847.25017851585,159227.41357312744,155959.92233972292,152263.56404202053,149292.30441162747,147397.9805646501,145693.5227230633,144219.2958143879,142763.86079630378,142490.8609839972,141944.4116366844,141176.52677453816,141173.3545845963,141467.5963491965,142053.40552408475,142695.85524956905,143868.4792043,144658.04121683937,145438.9150463404,146214.26052295862
Aluminum door frame,39469.69299014151,40865.506620829365,41222.343911003,46526.9352737759,46756.20337828013,49484.09139126855,48364.39731542932,47951.23996321234,49664.9635887684,51256.13090979191,52309.80391596734,53034.10506026122,52811.69140494087,51635.2834450503,50359.56746552537,49219.33639862775,48401.58141785035,47761.00699898181,47205.69197723924,46682.14003853401,46431.319776502714,46118.030737317866,45909.16755894099,45924.51473119549,46046.35776702803,46289.19475731022,46596.01352715128,47117.67603363101,47522.53288189061,47960.95892348685,48375.46386664232
Aluminum framed glass entrances,56712.44090606397,58279.940011868275,61736.28384819109,63086.51448360726,65710.11984870926,71193.62477910452,68758.78278374771,67621.31922829454,70845.04419284954,74293.88730138335,77014.44896537637,78805.5168172914,78318.47060301213,76351.49853027107,74381.39299456557,72303.00925878991,70396.70016031901,68906.99190422724,67508.92855701293,66292.32639312175,65412.253750581396,64838.97479836918,64623.62153056717,64769.02406746001,65176.27740774257,65777.71851868213,66515.78254500196,67315.60930465115,68130.1724837601,68921.41884150269,69648.54842886781
Aluminum framed window,333153.7113937202,330131.7175340999,349723.7925681967,399544.6855201744,410985.4308449807,440125.7528356373,427723.1641437528,422432.65931366495,439646.03893954906,456949.0225700228,469536.6598841194,477795.6694089951,475167.71358636813,463936.8297061627,452217.9938044717,440900.88142625545,431480.398714369,423891.57741758117,416922.232291466,410654.5899734191,406930.40348400094,404007.470914955,402255.1033600174,402699.97607524594,404451.8894819353,407272.9117483979,410689.14531759423,414996.85672381805,418901.7457044096,422740.13010235154,426321.1034437617
Aluminum sheet,1673298.0343342233,1566935.2638172046,1573897.8147267785,1853525.6759635117,1903622.1700824862,2008674.8069882256,1972935.003391378,1963203.3505408715,2022523.2403216092,2073335.8279720615,2100503.513977426,2117239.9350972753,2108878.5521306396,2066840.587850341,2018967.8976634126,1981273.8030400947,1956770.6364779808,1933004.9648499824,1911851.5814139254,1891158.351112321,1888549.3888663142,1884107.2685924545,1873766.6292599838,1874446.6902680798,1879536.7337558481,1888020.6609153622,1896454.7848776923,1909420.5600905684,1918234.5862265131,1925626.0529348487,1933296.686033534
Aluminum storefront or curtain wall,1058154.1490222241,1101845.9168634794,1124921.2673477696,1215575.5454080354,1241880.6541501347,1327019.2062485039,1291870.3208572695,1277622.0197364676,1329345.2480147318,1380673.8430540385,1417850.9387705736,1442918.777264391,1436337.963348015,1403549.0892221944,1369019.586366195,1336059.7204611106,1309529.8192845585,1288614.879316577,1269689.8013200571,1252594.152591425,1242813.3732124842,1234422.4840566942,1229862.9149183475,1231764.5203666575,1237391.9028138216,1246368.3931128546,1257280.3160073252,1271868.425296313,1284756.6003291877,1297854.095177344,1310158.1034984917
Applied fireproofing - other,105807.90445081412,111439.06852347488,112892.18984886345,110449.98495799737,111274.51683134297,118427.21493293259,115527.20023899135,114424.36404843743,118999.8215515849,123449.55640774044,126652.91949825757,128905.24137624902,128455.52344300137,125610.04611863302,122580.29573971736,119725.65280678676,117555.57000119076,115933.0109515777,114512.57492237075,113215.67147125842,112478.30722194049,111700.48194827231,111359.03477921041,111553.52281541086,112042.09183278937,112852.35709990154,113866.86944661466,115380.50545353096,116662.67134818403,118039.79679796155,119336.69804982672
Architectural fiber cement panel,327259.7955324617,299235.2967359813,303512.97589156847,367060.124029948,377234.0591616729,397602.3946900235,390490.68452206213,388474.2405832078,399732.3365717386,409198.37714105146,413941.04055119585,416695.48858693265,414793.35976395046,406355.185673912,396738.25195115316,389246.25083671854,384394.4243460314,379573.4530047219,375264.58822514757,371025.26055245986,370467.69339686405,369519.2868176302,367214.9153686731,367096.8247706939,367826.22925352806,369185.36992986663,370475.72313817195,372604.8150586878,373901.17167224793,374873.58776007,375922.09637679876
Asphalt shingles,150771.6192821585,153858.22493450402,149774.1987923709,158032.00432014622,163052.0533387018,173333.49998864825,169869.15945563975,168847.32804185728,174876.4631827757,180488.91290078728,184133.9215697344,186571.12860456237,186033.46872246068,182384.40493440782,178329.16899422187,174876.06269042584,172390.69930653725,170188.28174867487,168204.31248809403,166350.21598307288,165900.073852551,165508.58236231268,164938.65314902057,165327.15846248384,166174.9679256908,167374.77176507027,168662.4352567557,170298.09606300454,171672.52571418413,172943.64842260175,174198.70857722647
Brass,893.0174630709363,952.5131221655755,969.7235880736199,882.2450737625904,919.8274538157706,997.5528414593762,964.3707840163934,949.3380399495746,995.5608580259529,1045.0381897588245,1084.3558317295008,1110.6485205683223,1104.8539054083708,1078.1500813373925,1051.3501659644883,1022.9661810475221,996.9638195804854,976.816381611122,957.9297905874272,941.5835823245188,929.9896076339043,922.7386511605207,920.5717002685493,923.5439010543887,930.2587054242042,939.7601748320584,951.233353393473,963.6122909883815,976.225824257128,988.528900077435,999.9346636761478
Brick clay,1048411.5074883156,974268.3975121639,955872.6349163292,1140455.6185215735,1166797.6032658657,1222800.21990907,1205660.8097580778,1202754.5024667666,1233624.050519423,1257012.0222804977,1265519.7261184542,1270083.2351522748,1265382.8954812097,1241470.827622598,1213155.802996039,1193072.4226432156,1182306.446267501,1170320.1393667636,1159940.7955868028,1149132.4059488582,1150605.5426575914,1149336.277672105,1142037.0025900616,1141532.7961474021,1143226.0495485808,1146644.066068984,1149419.7587087916,1155379.222594643,1158097.9772607405,1159836.9743969191,1162059.8960866323
Built up roofing,93672.2903545305,87251.81061625341,85587.1706109668,103990.7465727345,106755.13999068593,112104.87099122364,110379.08824773658,110002.24323210213,112915.6262596348,115201.84305199308,116128.9304004168,116623.97991135338,116135.73025245567,113876.3747656434,111236.26838958391,109306.93316387129,108186.92859193307,106977.62865852477,105911.20307318462,104826.54429769711,104860.43753791688,104704.09891864932,104021.88334746256,103966.75364249431,104127.9500213255,104447.91018006246,104713.32289614598,105229.10329821243,105475.85024093208,105620.07490382131,105804.42776663876
CMU,617230.9825019808,622229.4390473418,625611.852141001,725135.1839285069,742357.7067281447,789707.002693703,771087.5157499479,764139.5099225307,792202.0821311736,818938.8014237754,836939.9795228583,848810.3769956914,845003.0739684587,826453.8097762058,806434.8648958101,788431.8128934833,774720.9253567853,763268.6091811423,752943.9009558992,743394.3975553812,739179.4975047389,735266.8197841521,731994.6392239959,732738.0205649948,735527.7782127191,740069.7545746242,745341.7050332432,752630.2842543945,758698.2199458453,764637.7705752366,770311.8229888608
Carpet,348355.1051294201,308790.1347451674,300135.4141585006,381365.8775343761,386437.1093638815,400367.86062659917,397401.0083398226,398213.82231313415,405701.18878548243,409489.31354658294,408178.66283517564,406924.8872127186,405796.5567053653,398962.61382048146,390223.10045900475,385240.5704381881,384068.95143865154,381698.68276260025,379885.6857643759,377533.174343326,379757.6501308267,380100.0665842936,377330.0517247992,376794.6734471098,376699.3424337222,377023.29558112245,376862.2220973792,378131.58415932086,377901.4800990794,377369.71314188256,377146.5282946852
Cast bronze,23418.15719186603,24963.755926345668,25441.87187308168,23107.367037361553,24093.370501914156,26131.059654856883,25263.592318043506,24871.496259427477,26084.276138959754,27382.49754646821,28414.67014949088,29105.652171240312,28955.792218386174,28257.891408956093,27557.376792689753,26815.243594641535,26135.443804918577,25609.04851980904,25115.63926483115,24688.77280268482,24386.46219569263,24198.00201213588,24142.848868084344,24222.476689387113,24400.282446584595,24651.210960075652,24953.898570756905,25280.390572563538,25613.082574755077,25937.67490130649,26238.76623165723
Ceramic tile,31625.916873230562,30627.808030384873,29728.974740403806,36886.9825659656,37375.33420438406,39160.983957654054,38553.05827090111,38413.36806681471,39444.52400956709,40250.20905218676,40590.742498361265,40795.32861586912,40632.92912173392,39823.95782288631,38883.94019574065,38182.5185415719,37786.29289230524,37392.678259996406,37057.585664332844,36711.34018889148,36709.58510621277,36604.78576929621,36373.03505468622,36343.42541523326,36380.118770358626,36481.63669673228,36579.68830662513,36815.127656670214,36937.81303877545,37050.512486373336,37170.56941070613
Cladding - other,89339.30299843304,95226.82976633072,96924.56073967744,104426.32843608936,108733.45031311984,117768.76357836861,113703.95841429065,111786.60245806156,117077.88055261347,122737.75776042457,127191.34571172834,130107.58094007836,129262.0964944974,125975.42414217084,122685.73914989967,119219.67763819716,116039.52016428518,113547.93946053863,111208.96498959388,109170.36792537947,107687.13764349751,106709.83106868452,106322.07755223797,106527.98379484538,107164.38858336916,108119.64887773564,109298.90755680778,110578.96292701205,111882.50750599014,113147.05042552149,114305.65876784269
Closed cell spray polyurethane foam,287465.1687221436,307412.703761985,298436.72462609585,318909.5193647509,328455.30303901935,350518.8434692756,341683.33492271637,338214.2105552157,351099.5715047449,363657.672546724,372356.2765300336,378024.63409953605,376171.5410506528,367740.0591084283,358747.1662001364,350465.14773270435,343879.29712911765,338367.52067152096,333329.0084750637,328727.0725463205,326499.1378296297,324694.80982019857,323251.9099510567,323628.25991704984,324988.6009409019,327127.72046201717,329602.15664433554,332762.16932948056,335515.22250472626,338139.5731171901,340633.0883552389
Coatings - other,527516.1234259638,557650.6745157955,561547.6402958808,593309.1917124327,613496.627368043,659493.061198491,640803.0794163819,633038.5041093862,660462.1853692983,688517.6813474208,709590.9380447564,723705.1773827475,720423.2907697977,704001.6337475232,686952.2769359834,670137.3301490988,655837.9646714834,644464.8584337346,633969.4286769612,624664.9818689724,619144.7684836618,615273.4502973552,613426.4857033978,614980.3877024907,618665.6256575489,624027.2513826239,630373.7328097875,637831.8619255979,644899.8133482069,651807.2084386086,658299.8838316993
Cold formed steel framing,1989493.475195237,2035759.7722113465,2018459.8147671963,2241958.7920774254,2288574.2881335607,2428423.6142071034,2374506.163956439,2355369.4227884053,2438543.189151169,2516066.489699494,2566487.857065717,2599794.2147996686,2588705.273883626,2532880.2306338944,2471962.5916457796,2418517.969944016,2379308.335766211,2346192.3910603486,2316616.309241882,2288907.3165303883,2278102.6461621616,2266853.600881124,2256400.4761197767,2258242.3932558093,2265995.339555946,2278998.6459875507,2293973.2940942324,2315841.895951492,2333334.4896658626,2350564.124057678,2367135.197301649
Concrete - other,770815.068451963,647598.6334738774,634687.2655481877,814247.9162726272,828703.5702575095,855561.5182372874,851678.408781304,855104.6914447171,868425.2984950738,872774.138824693,865874.9813300851,860123.7998594276,857908.5301816692,844457.0341372961,826479.9169491847,817656.5466695507,817353.0853031136,813257.3177238876,810257.1414564741,805805.5214771857,812318.640361129,814431.5300761233,808012.2620276124,806618.2958832996,806037.0237031835,806076.9767889977,804596.3009479942,805800.9833006051,803668.2786450799,800531.4994108044,798289.5504691356
Copper sheet,59939.48103152153,74991.24510699022,68681.56845877325,61822.49947255915,64473.0714050177,69939.61744843447,67631.28015891019,66594.98630205552,69856.40836266703,73348.12704716477,76128.59386067535,77996.02748177675,77610.64792532483,75756.0262110053,73893.7354051967,71919.1738122138,70111.10476944377,68713.98041616668,67404.89521219178,66273.97282846297,65477.08278938757,64985.69880865811,64852.28623753342,65081.04189121648,65573.8446302114,66263.53407853733,67092.81121465516,67986.57940077299,68897.55662701631,69787.27085979456,70614.2602800304
Cross laminated timber CLT,846204.2534138456,935195.5991740715,916087.1632699287,1004441.8501698009,1021298.9922552417,1090361.4880644921,1060554.6609650138,1048006.4306786127,1090254.2024416572,1132188.2143026572,1162584.4221855265,1183031.2114822334,1177010.235919064,1149231.274914401,1120124.6009879478,1092141.4773038593,1069595.830528671,1052066.7955573902,1036267.6651002984,1021970.3351109838,1013152.5347713111,1005201.481094011,1001028.0557029854,1001946.0244147454,1005820.0679804288,1012511.3851006716,1020938.117017939,1032801.9089120824,1043117.4733765187,1053843.3572585355,1063836.227626193
Decking,3222953.8479864835,3481369.529688237,3475775.479592973,3631573.168180208,3741052.5455040694,4019378.8879194874,3905647.316932433,3858417.483414604,4026403.0970561937,4198112.087799524,4327568.654945244,4415027.3308457285,4395660.1107012145,4295319.126450809,4191196.425469663,4088175.8434761637,4001119.153594408,3932903.438659699,3870278.528495115,3814777.8566416744,3780995.7659917297,3756227.5582115063,3745499.0138818882,3755036.2119720443,3777325.511464895,3810133.012633714,3849424.424156108,3896957.8881552513,3941582.8890642435,3985989.107500582,4027670.9770435393
Doors and frames - other,321454.3010572587,293659.1786994789,292143.55879573885,355113.00414029683,359753.8659932733,375375.8861149697,370782.43697897217,370314.3239422653,379197.38585435157,385427.83692930406,387083.2383458192,387955.72769370384,386673.74172520556,379494.8713896611,370854.1449960656,364962.37551195035,362246.39411785244,359129.0393749407,356558.44414714014,353727.43407116877,354564.7170106056,354111.6075619768,351815.5489622869,351518.8313958607,351775.842616116,352575.0578068807,353189.3758242055,355147.00518161885,355896.7896181793,356488.0319252919,357231.0613305911
EPDM,114534.30391541136,128452.44694381696,126568.45980132224,125598.63712748683,129924.0248003547,140307.7698584905,136164.91292745317,134445.56333508826,140798.43816589768,147448.5678614026,152659.7876127296,156242.76135110247,155682.94631619702,152194.31077749943,148622.01207789674,144947.1728755549,141735.2804125729,139285.3508555367,137024.20055433983,135059.34429071538,133785.2220869317,132948.00799963882,132757.48995125107,133284.68460693577,134301.71869427318,135715.40471047637,137400.0620927629,139338.04360007652,141230.05551218163,143118.00145421558,144892.01945181986
Expanded polystyrene EPS,396830.25708827516,380639.3264296501,383038.08403227763,443349.95820778096,455445.09185164195,482211.07945411105,472787.78448970785,469922.3553649264,485353.1977089507,499205.09509432747,507500.6518598542,512833.5751588935,510869.16988017963,500492.47335272963,488884.79765685624,479285.9353078382,472631.32913222304,466552.72804055514,461110.9021111141,455913.77743187605,454722.5145529685,453358.30972746725,451178.6983640055,451605.9135647345,453181.1355375363,455663.55898432573,458291.3235079516,462014.8149657487,464854.8350719298,467424.218350288,469985.54466073716
Extruded polystyrene XPS,5519337.165758766,5308841.610257747,5216892.186535872,6171264.163245486,6326935.4918418825,6670811.997772628,6552804.522068876,6520593.372268695,6715118.217633655,6880398.076487906,6967121.443360138,7020301.811966335,6991928.1299077375,6851809.770062054,6692102.994709143,6566785.399392914,6486147.187136414,6407975.347863032,6338660.088596266,6270546.39886184,6262069.396845369,6246252.470464557,6210965.924604334,6211934.811454814,6227154.235267602,6253640.3242643215,6279982.5378612075,6322382.315227257,6350390.277097169,6374085.579389509,6398697.469740804
