mat_group,mat_type,mean,median,analysis_type
Acoustic ceilings,Acoustic ceiling tile fiber,0.6797504726240792,0.47007683638132186,Material Intensity - No Filter
Acoustic ceilings,Acoustic ceilings - other,0.6310335868919388,0.4646136651328644,Material Intensity - No Filter
Acoustic ceilings,Suspension assembly,0.32077953735566683,0.11789500754180197,Material Intensity - No Filter
Acoustic ceilings,Acoustic ceiling tile steel,0.2287579556780916,0.0290670143983841,Material Intensity - No Filter
Acoustic ceilings,Acoustic ceiling tile aluminum,0.17864669632778307,0.047733196901037674,Material Intensity - No Filter
Adhesives and sealants,Adhesives and sealants,0.1921113029902468,0.13241581428684338,Material Intensity - No Filter
Air and vapor barriers,Air and vapor barriers,0.7496596599500982,0.40483727694293364,Material Intensity - No Filter
Aluminum,Extrusion,1.5034022485653793,1.2028062316969093,Material Intensity - No Filter
Aluminum,Aluminum sheet,0.9285505073388765,0.20128025500985658,Material Intensity - No Filter
Aluminum,Aluminum - other,0.7005173683647552,0.18842208347627473,Material Intensity - No Filter
Applied fireproofing,Spray applied cementitious,9.041477307215432,1.6394806316551194,Material Intensity - No Filter
Applied fireproofing,Applied fireproofing - other,1.9384931507513528,0.7300928330163129,Material Intensity - No Filter
Applied fireproofing,Intumescent,0.2804735811451802,0.02932855146396904,Material Intensity - No Filter
Cladding,Terracotta units,1.2334962747657654,0.8794800862054206,Material Intensity - No Filter
Cladding,Stucco finish,0.8126894991214514,0.13603375292345402,Material Intensity - No Filter
Cladding,Architectural fiber cement panel,0.672987890343405,0.2346918735093548,Material Intensity - No Filter
Cladding,Insulated metal panel IMP,0.532789448186006,0.17629108916323602,Material Intensity - No Filter
Cladding,Roll formed metal panel steel,0.30596275231171166,0.0747631212974491,Material Intensity - No Filter
Cladding,Cladding - other,0.24489837413614896,0.20057103231666884,Material Intensity - No Filter
Cladding,Aluminum composite panel ACM,0.17464181742979792,0.09768750761570141,Material Intensity - No Filter
Cladding,Roll formed metal panel aluminum,0.14520791567414373,0.04421328278860629,Material Intensity - No Filter
Cladding,GFRC panel,0.09317807307085813,0.07489434622600696,Material Intensity - No Filter
Coatings,Paint,0.4475657733284931,0.4613049520398266,Material Intensity - No Filter
Coatings,Coatings - other,0.21725031375832587,0.12501777282037324,Material Intensity - No Filter
Concrete,Ready mix unknown,206.57529188543447,236.20109547898397,Material Intensity - No Filter
Concrete,Ready mix NW 4000,174.6209940483508,214.68193627755073,Material Intensity - No Filter
Concrete,Ready mix NW 6000,146.3107005459894,132.25566040950775,Material Intensity - No Filter
Concrete,Ready mix NW 5000,129.5477666782458,128.18637386463172,Material Intensity - No Filter
Concrete,Ready mix NW 3000,52.07141965581036,42.89772584871644,Material Intensity - No Filter
Concrete,Ready mix NW 8000,50.043269402672365,51.42168508357951,Material Intensity - No Filter
Concrete,Ready mix LW 4000,39.007614154827706,9.435474279928089,Material Intensity - No Filter
Concrete,Ready mix LW 5000,36.56263380760306,3.8482091833567122,Material Intensity - No Filter
Concrete,Precast,19.858816227946043,3.258716393539504,Material Intensity - No Filter
Concrete,Ready mix LW 3000,19.00812894147007,3.3730322064644955,Material Intensity - No Filter
Concrete,Ready mix NW 2500,17.97693604464671,2.9960375589286428,Material Intensity - No Filter
Concrete,Concrete - other,6.401728257658443,1.4799321857538206,Material Intensity - No Filter
Concrete,GFRC general,1.718877667800622,0.7025316638412825,Material Intensity - No Filter
Doors and frames,Wood or composite door,0.6071311572131575,0.30281495792151386,Material Intensity - No Filter
Doors and frames,Steel door,0.32510088427921263,0.21638579576193187,Material Intensity - No Filter
Doors and frames,Doors and frames - other,0.18115186646019432,0.16095757942827957,Material Intensity - No Filter
Doors and frames,Aluminum door,0.10472501935848855,0.0690027863590002,Material Intensity - No Filter
Doors and frames,Aluminum framed glass entrances,0.07658676062265223,0.1033545852562826,Material Intensity - No Filter
Doors and frames,Fiberglass door,0.068856350811185,0.015815993476006047,Material Intensity - No Filter
Doors and frames,Wood door frame,0.04385646157775447,0.012175660725804519,Material Intensity - No Filter
Doors and frames,Aluminum door frame,0.02493637391387921,0.01097422856130509,Material Intensity - No Filter
Doors and frames,Steel door frame,0.024212872697391533,0.013143500899749624,Material Intensity - No Filter
