mat_type,mat_group,GWP Intensity - No Filter - Residential: Single-family mean,Material Intensity - No Filter - Residential: Single-family mean,GWP Intensity - No Filter - Residential: Single-family median,Material Intensity - No Filter - Residential: Single-family median
Acoustic ceiling tile fiber,Acoustic ceilings,0.7566936951533951,0.5645847730003779,0.0920877365954303,0.0677115710260517
Adhesives and sealants,Adhesives and sealants,0.2735273780206483,0.1614484311638269,0.2030187185411751,0.1594001719539308
Air and vapor barriers,Air and vapor barriers,0.2613598884944591,0.1616552918673005,0.0835272521806236,0.0562980961900391
Aluminum - other,Aluminum,4.9944989585818105,0.886963895434567,0.1698549301989123,0.0644700417893899
Aluminum composite panel ACM,Cladding,0.7795274956043333,0.1056775620364394,0.6883717526298021,0.1187575449918849
Aluminum door,Doors and frames,0.2056906945819947,0.0345274398113401,0.1182301292131476,0.0175880651208897
Aluminum door frame,Doors and frames,0.0178902813904856,0.0018877906266794,0.0163284258840919,0.0011795223605206
Aluminum framed window,Windows and frames,0.2064593443789664,0.0258498579193607,0.0653146019505144,0.0052051886630418
Aluminum sheet,Aluminum,3.7573291421293726,0.6491743477616079,0.1098178572439955,0.0174473986566396
Aluminum storefront or curtain wall,Windows and frames,0.4586017378407452,0.0647940794755349,0.2753230497640319,0.0480604324949094
Architectural fiber cement panel,Cladding,0.7921763715061486,1.2645382378760253,0.7159159747452625,1.4091715307456265
Asphalt shingles,Roofing and waterproofing,0.2511714785335135,0.5083502930339279,0.2679461110430409,0.5443580822636093
Brick clay,Masonry,2.8509780933373707,10.723563519928016,2.9784139154151013,15.137516426968904
Built up roofing,Roofing and waterproofing,0.2584032823367669,0.3777086172209971,0.2756608950472662,0.4044627127049558
CMU,Masonry,0.7030504437638068,6.509885127257963,0.4453275879633045,5.840217155363827
Carpet,Flooring and tile,1.1787607919483178,0.2791540120529009,0.0705203031612749,0.1102113086226413
Ceramic tile,Flooring and tile,0.0704068646401927,0.2931994609370103,0.0038308081192508,0.0716909803985068
Closed cell spray polyurethane foam,Insulation,0.3143214591231204,0.1109360993535184,0.030505185691705,0.0124036585322689
Coatings - other,Coatings,0.2830308957764771,0.0276699357366788,0.248645598977356,0.0235655978779388
Cold formed steel framing,Steel,2.3839952008724703,1.0130232119710785,1.7656169342600765,0.8896056324358285
Concrete - other,Concrete,3.0345051012625324,19.173028318429832,1.7323046342272144,11.686411355849932
Cross laminated timber CLT,Wood and composites,0.1580094125237505,0.4765241774380205,0.0555126565082211,0.1540742656409755
Decking,Steel,1.141183481000602,0.4629048824376752,0.5758766014336621,0.3044810044721046
Doors and frames - other,Doors and frames,0.833022946347742,0.1179225783024835,1.0494340973962135,0.0966189005036232
EPDM,Roofing and waterproofing,0.0075192674622293,0.0019351794386261,0.0080214460899787,0.0020722532916414
Expanded polystyrene EPS,Insulation,0.7527943222707272,0.2446734277480818,0.7198881638579748,0.2826967365205273
Extruded polystyrene XPS,Insulation,12.316312730290896,0.2515382900100825,7.303135521651423,0.2949968345366134
Extrusion,Aluminum,6.279345501815435,0.7695757838235638,6.6265338156696725,0.8397848173208023
