mat_type,mat_group,metric,filter,building_use,measure,value
Acoustic ceiling tile aluminum,Acoustic ceilings,gwp_intensity_kg_per_m2_excluding_bio,No Filter,Others,mean,0.9391563944834236
Acoustic ceiling tile fiber,Acoustic ceilings,gwp_intensity_kg_per_m2_excluding_bio,No Filter,Others,mean,0.8854797705332084
Acoustic ceiling tile steel,Acoustic ceilings,gwp_intensity_kg_per_m2_excluding_bio,No Filter,Others,mean,0.6123536757800166
Acoustic ceilings - other,Acoustic ceilings,gwp_intensity_kg_per_m2_excluding_bio,No Filter,Others,mean,0.7329689730461184
Adhesives and sealants,Adhesives and sealants,gwp_intensity_kg_per_m2_excluding_bio,No Filter,Others,mean,0.3938662172917801
Air and vapor barriers,Air and vapor barriers,gwp_intensity_kg_per_m2_excluding_bio,No Filter,Others,mean,1.2833667225700296
Aluminum - other,Aluminum,gwp_intensity_kg_per_m2_excluding_bio,No Filter,Others,mean,4.149203264539735
Aluminum composite panel ACM,Cladding,gwp_intensity_kg_per_m2_excluding_bio,No Filter,Others,mean,1.6966089954205572
Aluminum door,Doors and frames,gwp_intensity_kg_per_m2_excluding_bio,No Filter,Others,mean,0.5445571758077845
Aluminum door frame,Doors and frames,gwp_intensity_kg_per_m2_excluding_bio,No Filter,Others,mean,0.1899779062328426
Aluminum framed glass entrances,Doors and frames,gwp_intensity_kg_per_m2_excluding_bio,No Filter,Others,mean,0.5526931870737338
Aluminum framed window,Windows and frames,gwp_intensity_kg_per_m2_excluding_bio,No Filter,Others,mean,1.020207868650114
Aluminum sheet,Aluminum,gwp_intensity_kg_per_m2_excluding_bio,No Filter,Others,mean,5.410604146194293
Aluminum storefront or curtain wall,Windows and frames,gwp_intensity_kg_per_m2_excluding_bio,No Filter,Others,mean,4.453842537204256
Applied fireproofing - other,Applied fireproofing,gwp_intensity_kg_per_m2_excluding_bio,No Filter,Others,mean,1.199334362745395
Architectural fiber cement panel,Cladding,gwp_intensity_kg_per_m2_excluding_bio,No Filter,Others,mean,1.0912478039865812
Asphalt shingles,Roofing and waterproofing,gwp_intensity_kg_per_m2_excluding_bio,No Filter,Others,mean,0.5903007155819936
Brass,Other metals,gwp_intensity_kg_per_m2_excluding_bio,No Filter,Others,mean,0.0130955821940078
Brick clay,Masonry,gwp_intensity_kg_per_m2_excluding_bio,No Filter,Others,mean,2.9533061273455243
Built up roofing,Roofing and waterproofing,gwp_intensity_kg_per_m2_excluding_bio,No Filter,Others,mean,0.2033879095765482
CMU,Masonry,gwp_intensity_kg_per_m2_excluding_bio,No Filter,Others,mean,2.18308781736845
Carpet,Flooring and tile,gwp_intensity_kg_per_m2_excluding_bio,No Filter,Others,mean,0.2896855136880406
Cast bronze,Other metals,gwp_intensity_kg_per_m2_excluding_bio,No Filter,Others,mean,0.33571603445993
Ceramic tile,Flooring and tile,gwp_intensity_kg_per_m2_excluding_bio,No Filter,Others,mean,0.0560180886383041
Cladding - other,Cladding,gwp_intensity_kg_per_m2_excluding_bio,No Filter,Others,mean,0.9979863823077452
Closed cell spray polyurethane foam,Insulation,gwp_intensity_kg_per_m2_excluding_bio,No Filter,Others,mean,1.2983712716291935
Coatings - other,Coatings,gwp_intensity_kg_per_m2_excluding_bio,No Filter,Others,mean,2.6792428226682623
Cold formed steel framing,Steel,gwp_intensity_kg_per_m2_excluding_bio,No Filter,Others,mean,7.97677630756348
Concrete - other,Concrete,gwp_intensity_kg_per_m2_excluding_bio,No Filter,Others,mean,1.0401430099658475
Copper sheet,Other metals,gwp_intensity_kg_per_m2_excluding_bio,No Filter,Others,mean,0.3851560425454297
