mat_type,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Acoustic ceiling tile aluminum,37080.059950470306,43369.14193461291,41771.06271088617,43993.0075286208,45769.78862539613,49554.28271570737,47862.13649582719,47069.356836590625,49292.7941228465,51666.25359724714,53532.01647074228,54757.66378797142,54411.864352545206,53038.672111347805,51661.90428711297,50214.58653623315,48891.92974206369,47857.47521366642,46887.68320644658,46042.264529734035,45430.75509249575,45026.15788113855,44868.24523211603,44959.908340316055,45231.553504351985,45637.7574781951,46138.307909153016,46686.014551727865,47240.89945172171,47781.005824564854,48276.86991894688
Acoustic ceiling tile fiber,273817.7404347882,260144.59391920295,263436.36876531964,306271.1193166049,316459.79627329874,335631.7015866154,328633.1278902058,326304.07247873617,337054.10318867525,346832.85110405873,352726.4319537062,356371.89703786484,354728.7192056425,347297.7395238084,339061.07038443617,332160.2560255928,327163.3336392229,322533.35418173874,318319.6725519771,314333.0305751992,313223.2807912831,312204.8131298075,310533.215836089,310713.84074698656,311737.5880802644,313363.3672896038,315055.1885820673,317297.41686725954,319025.44913099764,320474.6835384302,321924.76864674187
Acoustic ceiling tile steel,24590.935360614832,25276.40466968744,26759.311229888903,27778.50101097215,28899.027995095854,31288.906961167562,30223.91668044847,29726.31385149397,31131.92807018921,32631.960732276195,33811.43755745043,34587.25837572193,34371.47395278534,33506.60070849774,32639.134178881275,31727.274909351065,30894.415393140884,30243.388037713503,29633.149345370643,29101.2239293247,28717.03326472258,28462.9996430283,28364.66932495906,28423.987661777064,28596.90737217843,28854.866045557697,29172.426978427608,29520.17631344733,29872.197984844315,30214.99038887948,30529.8177913122
Acoustic ceilings - other,103953.7786957451,120350.61663015294,114740.06218092875,114587.1006570697,115778.99872656533,123402.15381907817,120230.39647856003,118969.32396629133,123781.09604793618,128509.63029156304,131941.6145547667,134322.03513919134,133781.73103103644,130744.3437734864,127535.11646231354,124474.47813282054,122087.577930612,120285.55047506688,118689.95175647392,117241.4532651204,116374.8683530268,115520.97742979034,115135.82320120369,115312.94715591232,115808.60757740695,116637.546957927,117679.89234584954,119200.6350575738,120505.5513255727,121895.36777352737,123199.00083415248
Adhesives and sealants,63781.984426827185,59985.76574100013,58917.54845413911,69462.03971183805,70950.2347341976,74409.35310934944,73319.21577578771,73109.97563750652,75044.49864592821,76544.36709726728,77146.66962287828,77490.113679651,77202.85550314974,75724.71812515077,73987.67799994441,72728.3090219256,72030.55417640883,71286.0226572116,70641.91720696306,69977.12901881547,70032.0443144677,69924.16727076758,69491.91213660216,69466.76510092514,69577.10215299552,69798.80063027915,69992.51807261983,70392.05891339705,70595.29124044275,70748.44079460093,70925.75717074958
Air and vapor barriers,184589.0385728035,195081.15641108836,192101.20494623375,205563.56831636734,210587.27087343967,224578.43440477314,219222.01768539814,217258.51841454284,225706.19174701895,233908.4928149687,239664.21713067387,243562.32451745405,242655.81818988326,237445.94367333106,231852.2928742785,226711.9878531553,222733.0127436992,219500.57092314685,216587.90711351877,213928.68099398218,212706.2744172359,211641.97302267322,210923.8298858696,211350.6257162281,212393.06015655084,213967.92082487757,215799.6564645254,218215.70895591617,220316.5608347296,222402.46488629543,224393.946403223
Aluminum - other,307422.9602855706,279188.9621775724,276301.26677223766,334929.1350589562,342240.0707896512,357883.05654312525,353300.6943706842,352733.65509798983,361276.7103235851,367413.6996326446,369150.0538734244,369958.163359597,368619.201807551,361777.87648593547,353567.9735434961,347958.13766344317,345196.5270469902,341921.5930576257,339118.6600630528,336123.4155674437,336841.2413404443,336602.94802113157,334371.77930456435,334137.0483698582,334499.4500276864,335334.691274152,335924.66517797916,337487.22803778545,338033.88604343997,338283.5057326224,338704.0422340083
Aluminum composite panel ACM,62291.03519065536,61195.375312670614,60600.187097204805,67427.9864491944,68151.67535936303,71590.38381730166,70505.43350269701,70297.36050479134,72397.20691380046,74129.65079111989,75031.43511435734,75655.28697084908,75474.02028677927,74050.62978059298,72397.08905507618,71131.90164413876,70415.65722807049,69757.02506365173,69208.41090893051,68647.47506963389,68667.46367101926,68505.46583091437,68198.5837748856,68257.58712911057,68447.65703504087,68775.72046673819,69124.73129944515,69756.98998723339,70184.97904728507,70616.24335085879,71051.2582913817
Aluminum door,23087.267619677794,23086.51917047469,22785.800295809335,25881.577180038417,26262.11935164631,27697.391310922656,27167.64246067284,27004.470036023413,27858.631235386525,28604.73980170654,29034.25118590589,29315.453855766107,29197.953697971483,28589.648119511858,27907.773162965554,27347.27906782966,26976.480875527257,26649.552617847337,26364.638595202014,26087.13135786468,26018.783190085065,25909.53829932199,25773.08676506515,25775.85149152765,25835.591522617848,25950.380190718068,26078.772888723135,26301.48383595329,26458.143999019765,26613.734823759816,26766.583791406167
Aluminum door frame,4897.918622146299,5131.375680917442,5159.066665779759,5724.101182139,5770.675178440653,6121.884200460746,5976.513121084148,5920.996876063572,6140.243547642426,6347.879855847972,6489.486546893877,6586.406725136262,6557.941951507002,6410.290056541809,6251.569121528023,6106.859967541654,5999.573181097059,5915.807099861322,5842.348021713825,5773.989941573656,5738.668319810127,5698.9516826015515,5674.29840855355,5677.675405933764,5695.17336596427,5727.8952586309415,5769.030374229603,5834.833974032196,5887.717730217949,5944.260473475145,5997.550318980535
