project_index,bldg_proj_type,mat_group,mui,eci,bldg_prim_use_recat
1,New Construction,Acoustic ceilings,4.49532824446899,8.7450928173031,Residential: Multifamily (5 or more units)
1,New Construction,Adhesives and sealants,0.0872588851780618,0.2286555204494854,Residential: Multifamily (5 or more units)
1,New Construction,Air and vapor barriers,0.0842328030853608,0.1809584646060845,Residential: Multifamily (5 or more units)
1,New Construction,Aluminum,4.363677871539835,27.315811938265565,Residential: Multifamily (5 or more units)
1,New Construction,Cladding,1.622682350686598,12.887487346500166,Residential: Multifamily (5 or more units)
1,New Construction,Coatings,0.547523960314433,2.1359440892412924,Residential: Multifamily (5 or more units)
1,New Construction,Concrete,1440.561578358901,262.06564897177185,Residential: Multifamily (5 or more units)
1,New Construction,Doors and frames,2.32544135900334,4.792191619191808,Residential: Multifamily (5 or more units)
1,New Construction,Flooring and tile,1.2183878504172372,3.1041414870408226,Residential: Multifamily (5 or more units)
1,New Construction,Glazing,2.1574247498694845,3.675739883568387,Residential: Multifamily (5 or more units)
1,New Construction,Gypsum,33.01904050609588,7.134760486393564,Residential: Multifamily (5 or more units)
1,New Construction,Insulation,2.0672497352271546,8.125065085885197,Residential: Multifamily (5 or more units)
1,New Construction,Masonry,27.92362227030431,4.3724303712847465,Residential: Multifamily (5 or more units)
1,New Construction,Other metals,0.004101929614701,0.0216577307139981,Residential: Multifamily (5 or more units)
1,New Construction,Roofing and waterproofing,0.7075475541920206,1.2512442965049757,Residential: Multifamily (5 or more units)
1,New Construction,Steel,56.37784696007549,113.95594355126654,Residential: Multifamily (5 or more units)
1,New Construction,Windows and frames,0.4352947302068041,4.756791332817954,Residential: Multifamily (5 or more units)
1,New Construction,Wood and composites,0.1170984943484536,0.0534892122468577,Residential: Multifamily (5 or more units)
100,New Construction,Acoustic ceilings,5.12283368933849,25.465078960804323,Education
100,New Construction,Adhesives and sealants,0.0479262131059591,0.1232280113899277,Education
100,New Construction,Air and vapor barriers,0.9643424315002448,1.732216080847302,Education
100,New Construction,Aluminum,1.8499151595661636,15.398226547253511,Education
100,New Construction,Applied fireproofing,45.88887519416082,52.31331772134333,Education
100,New Construction,Cladding,1.709378730332245,4.215318189096588,Education
100,New Construction,Coatings,0.8857266470945715,3.4207653507708757,Education
100,New Construction,Concrete,679.3190642493129,116.79550136417907,Education
100,New Construction,Doors and frames,0.9516211213659592,2.5911569807502466,Education
100,New Construction,Flooring and tile,0.0514133517900408,0.2714554545265649,Education
100,New Construction,Glazing,7.716137542501429,9.129959909541142,Education
100,New Construction,Gypsum,49.43087245319061,11.535583091694216,Education
100,New Construction,Insulation,12.281194822387183,171.28547382072048,Education
100,New Construction,Masonry,0.0110013674297959,0.005901504527784,Education
100,New Construction,Other,0.0021527200991836,0.0061137250816816,Education
100,New Construction,Other metals,0.0043695025530612,0.0229293256271097,Education
100,New Construction,Roofing and waterproofing,0.6362924365771429,1.5371513586692491,Education
100,New Construction,Steel,122.9868545419582,238.31989307817207,Education
100,New Construction,Wood and composites,3.0119352460285715,1.2434677609901388,Education
102,New Construction,Acoustic ceilings,2.693538837728375,7.444593783544226,Public Assembly
102,New Construction,Adhesives and sealants,0.1646647759695,0.2038609547538675,Public Assembly
102,New Construction,Air and vapor barriers,0.48836482310725,0.8679988169752699,Public Assembly
102,New Construction,Aluminum,0.829233422848375,6.206823273384063,Public Assembly
102,New Construction,Applied fireproofing,35.63211625380375,40.62061252933628,Public Assembly
102,New Construction,Cladding,0.2350732660675,1.4790308061146626,Public Assembly
102,New Construction,Coatings,0.445451008356875,2.711435275279721,Public Assembly
102,New Construction,Concrete,871.6506310315588,144.97866228355065,Public Assembly
